                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.4791,                 1.3435,                 1.3112,                 1.9107,                0.96989,                0.47826,                0.71606,                0.38226,                0.96989,                0.47826,                0.46731,                0.35007,                 1.1881,                 1.4325,                 1.4668,                 1.4947,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.3944,                 1.1573,                 1.2333,                  1.809,                0.97477,                0.47826,                0.60109,                0.38096,                0.97477,                0.47826,                0.47671,                0.35972,                 1.2045,                 1.3519,                 1.3227,                 1.5327,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.3864,                 1.1647,                  1.263,                 1.8108,                0.97797,                0.47191,                0.54112,                0.37151,                0.97797,                0.47191,                0.47893,                 0.3783,                 1.1359,                 1.2763,                 1.2413,                 1.4669,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.2733,                 1.2179,                 1.1446,                 1.7246,                 0.9781,                 0.4747,                0.52895,                0.38169,                 0.9781,                 0.4747,                0.48373,                0.39078,                 1.0971,                   1.26,                 1.1658,                  1.443,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.2777,                 1.2361,                 1.2331,                 1.7568,                0.97811,                0.47501,                0.51792,                0.38557,                0.97811,                0.47501,                0.48476,                0.39063,                 1.0562,                 1.3956,                 1.1005,                 1.4265,             0.00090785,             0.00090785,             0.00090785
                     49,                  1.118,                 1.1909,                 1.0863,                 1.5886,                0.97566,                0.45652,                0.51684,                0.36321,                0.97566,                0.45652,                0.47857,                0.37255,                 1.0697,                 1.3821,                 1.1846,                 1.3672,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.2632,                 1.3077,                 1.1448,                 1.7115,                0.91349,                0.45652,                0.51817,                0.37507,                0.91349,                0.45652,                0.45599,                0.36059,                  1.024,                 1.2613,                 1.4504,                 1.3246,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.3103,                 1.7261,                 1.2634,                  1.707,                0.97402,                    0.5,                0.55774,                0.39102,                0.97402,                    0.5,                0.48667,                 0.3716,                  1.067,                 1.2604,                 1.0317,                 1.3338,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.2822,                 1.1964,                 1.1381,                 1.6351,                0.97804,                0.47345,                0.53721,                   0.36,                0.97804,                0.47345,                0.48193,                0.34929,                 1.1692,                 1.3304,                 1.0187,                 1.3583,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2903,                 1.1015,                 1.1126,                 1.6533,                 0.9583,                0.47787,                0.52953,                0.37276,                 0.9583,                0.47787,                 0.4843,                 0.3715,                0.96337,                 1.2014,                 1.0462,                 1.3257,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.3212,                 1.1257,                 1.1052,                 1.6526,                 0.9724,                0.43478,                0.53826,                0.38277,                 0.9724,                0.43478,                0.47607,                0.36903,                 1.1055,                 1.1699,                 1.1534,                  1.472,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.2077,                0.95718,                 1.0249,                 1.6526,                0.97718,                0.45461,                0.53759,                0.39317,                0.97718,                0.45461,                 0.4754,                0.37796,                0.97588,                 1.1561,                 1.0901,                 1.3825,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.1836,                 1.2164,                  1.065,                 1.5609,                0.97886,                 0.4927,                0.55336,                0.41721,                0.97886,                 0.4927,                0.48229,                0.38473,                0.95968,                 1.1618,                 1.0484,                 1.3101,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.1561,                 1.1141,                 1.0426,                 1.5939,                 0.9393,                0.47221,                0.52798,                0.36516,                 0.9393,                0.47221,                0.47271,                0.34931,                 1.0712,                 1.3081,                  1.246,                 1.4323,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.1928,                 1.0991,                 1.0757,                 1.6117,                0.97178,                0.47826,                0.53421,                0.40718,                0.97178,                0.47826,                0.47893,                0.38524,                0.92384,                 1.1347,                 0.9092,                 1.2836,             0.00074282,             0.00074282,             0.00074282
